land_area_ha,families_affected,current_stage_index,days_in_current_stage,days_since_last_action,days_since_update,award_overdue,pending_approvals,pending_notifications,noc_pending_count,budget_released,has_legal_dispute,num_legal_cases,ownership_conflicts,compensation_pct,compensation_pending_months,rr_completion_pct,documentation_pct,stakeholder_response_pct,possession_pct,land_cost_cr,amount_paid_cr,project_value_cr,district_historical_delay_rate,prev_delayed_district,officer_responsiveness,funding_readiness,notice_delivery_pct,mutation_completion_pct,is_delayed,project_type_code,state_code
1474.26,4228,1,1009,489,202,0,12,5,1,1,1,7,0,11.8,14,14.0,45.1,35.3,30.4,12388.41,1461.83,119016.19,0.36,6,3.6,15.1,39.0,0.0,1,6,11
1106.32,3764,2,1018,449,341,1,5,1,6,1,0,0,3,52.3,3,39.7,53.7,54.3,6.5,20008.79,10464.6,281386.68,0.74,35,2.7,41.7,46.7,0.0,1,5,13
461.95,282,3,73,33,8,0,7,1,4,1,1,4,2,93.8,0,58.9,84.5,66.8,35.8,13598.43,12755.33,246958.53,0.45,8,6.9,77.9,63.6,0.0,1,8,3
1060.58,4134,3,96,221,357,0,6,4,5,1,1,12,1,50.9,35,45.1,53.4,25.3,38.9,40532.32,20630.95,451459.93,0.4,18,2.3,35.4,29.9,0.0,1,12,12
228.18,403,3,428,191,373,0,10,2,7,0,0,0,3,13.5,6,5.1,39.3,13.1,38.6,10606.08,1431.82,165399.42,0.51,25,2.2,42.5,41.9,0.0,1,4,3
146.63,397,5,58,60,41,0,7,1,5,0,0,0,1,53.5,16,56.7,76.8,74.7,71.6,3147.73,1684.04,32756.68,0.65,31,6.2,59.4,76.1,52.1,1,6,6
889.05,3124,5,25,27,46,0,9,4,1,0,1,9,0,98.4,0,95.6,93.2,54.1,99.3,12115.57,11921.72,195221.46,0.57,18,5.4,99.8,82.2,76.7,1,6,8
956.19,3554,1,171,643,152,0,8,1,7,1,1,9,0,92.6,0,44.1,58.1,48.8,26.3,27231.08,25215.98,209533.83,0.37,17,4.4,23.3,26.5,0.0,1,7,5
151.16,188,4,179,85,45,0,4,0,1,0,0,0,0,94.0,0,62.2,62.1,90.9,63.2,6732.78,6328.81,103439.07,0.4,9,7.2,70.4,87.5,94.1,1,12,3
670.45,642,2,393,96,157,1,4,5,1,0,1,8,8,52.3,36,0.6,18.8,49.7,12.3,30169.97,15778.89,492681.69,0.77,20,1.7,43.3,37.7,0.0,1,7,13
1763.43,1034,1,1032,287,172,0,2,4,4,0,1,15,6,58.1,16,16.0,54.4,14.9,8.9,58495.87,33986.1,536546.79,0.46,4,3.5,27.6,45.5,0.0,1,10,0
